index,部屋,風呂,料理（朝食）,料理（夕食）,接客・サービス,清潔感,見出し,本文
59,5,5,4,5,5,5,露天風呂付き客室は最高,貸風呂をお願いしようと思ってましたが私が他のホテルと勘違いしていて南風壮は貸風呂は無いということでした。フロントに部屋付き露天風呂が空いていたら変えて欲しいと変更の意志を伝えると即座に対応してくれました。値段が上がりますけど大丈夫ですか？部屋出しのお食事に変更はできないんですけど大丈夫ですか？etc色々確認をして下さり嫌な顔ひとつせずお部屋に通してくれました。部屋付き露天風呂は最高でした！貧乏魂に火がつき何回も堪能して日々の疲れを癒しました。ひとつ残念かな？と思ったのが工事をしていた(南風壮も工事してたかな？)が故、朝と日中は工事の音が凄かったことでした。夜は静かにお風呂を堪能出来たのでよしです！！次も絶対利用したい！
60,4,5,4,4,5,5,よかった,献立の説明はもっと丁寧にしていただきたい。海外のお客様を連れて行ったので、英語のメニューをつけていただきたい。
61,5,5,5,5,5,5,家族旅行で使用,祖父母&4人家族で利用しました。ご飯も部屋もお風呂もおもてなしも最高に良かったです。車も配車してくれるし、荷物も持ってくれるし、特におもてなしがよかった。みんなが気になるご飯も、一つ一つ手が混んでいて、祖父母も食べやすくて、万人受けする和懐石でした。良い思い出になりました。ただ、新人教育を実地でやりながらってのはどうかなと。裏でしっかりトレーニングしてあげて欲しいものです。カタコトの日本語で頑張っていましたが、もう少ししっかり教育してあげないと、怒る人とかいそうです。あとは、リモコンやご飯の呼び鈴など、電池管理をしっかりして欲しかったです。押しても呼び鈴が鳴らなかったら、テレビに電池不足アラームがでてましたね。デザートなど、呼ばないと出てこないのなら、その説明は欲しかったです。あとは、エレベーターがタバコ臭い時があった。そんなマイナス点を差し引いても、最高評価に値しますね。これからもさらに頑張って貰いたいですね。あとは、ゴールデンウィークってのもあったけど、一泊25万です。この辺の価値観は人によって違うけど、安くはないですね。
62,4,4,5,5,5,5,思い出に,とても満足した旅行になりました。食事もスタッフも全て気持ち良く過ごす事が出来ました。またお世話になりたいと思いました。有難う御座いました！
63,2,4,2,2,2,2,温泉が良かったです,他の方もコメントされていますが本館と別館の落差が思った以上に大きかったです。別館から浴場や食事処までかなり距離がある事も事前に情報があるとありがたいです。高齢の方や足の悪い方にはかなり辛く、どれだけ温泉や食事の内容が良くても残念だった印象の方が記憶に残ってしまいます。プランの案内にそのことは分かりやすく明記された方が良いかと思います。少し値段が高くても本館の部屋食プランにすれば良かったと心から後悔しました。温泉は良かったです。
64,5,5,5,5,5,5,新婚旅行でうかがいました最高のおもてなし,新婚旅行でうかがいますとコメントに書いていただけなのに、お祝いにお写真と、料理長からお赤飯に、お祝いの鯛を頂き夫婦で感動しました。お料理もおいしく、見るだけで楽しみになりました。お風呂もお部屋で何回も入れて最高！！！一生の思い出になりました。すれ違う従業員さんも気持ちよくご挨拶くださいますし、全てが満足できた新婚旅行になりました。本当にありがとうございました。また行けるように頑張ろうねと主人と話しています。
65,5,5,5,5,5,5,全て満足,大浴場は、男女入れ替えで二箇所入れました。2の湯が、３時からその日女湯で露天風呂に行きやすいです。１の湯は翌朝女湯で、露天風呂が独立してるので、いきなり行ってしまうとシャワーを浴びるために戻ってこなくてはなりません。先に、大浴場に行って、体を洗ってから露天風呂に行ったほうがいいです。ウェルカムドリンクで、凄く美味しいお茶をいただきました。美味しかったので売店でお土産に買って帰ってきました。ロビーでウェルカムドリンク頂いたのにお部屋にも準備があり、お茶と、オリジナルのお菓子をお部屋でもいただけます。ミニバーには、お茶、コーヒーが揃っていてお水、ペットボトル２本も、備え付けられていて、ポットにはお湯が沸いてましたので、湯上がりにお水として飲めます。（大浴場には、飲水機もありました）浴衣は、客室内に身長別、男女別に各種備え付けられていて、よくあるロビーから自分で持って行くスタイルではないので、楽チンでした。湯上がり用の足袋も、ありました。客室の温泉は、贅沢にかけ流しで使うので丁度いい温度にするのが少し難しかったです。お湯の、出しっぱなしを進められましたが思ったほど冷めなかったのか、ちょっと熱めでした。これは、外気温が関わるの　で季節によって、色々かと、思います。その他、室内トイレ、洗面、テレビなど、すべて最新で快適です。部屋の鍵も２本貸してくださったので、大変便利でした。誕生日だったので、デザートの追加をお願いしたのですが、料理長さんからお祝いの料理も出していただけました。食後には記念写真も撮っていただき、マスコットキャラクターのかわいい台紙にセットして下さいました。記念になりました。ありがとうございます。大浴場露天風呂の清潔さには、感動でした。落ち葉なども、落ちてなく露天とは、思えないほど綺麗でした。安心して入浴出来ました。Aタイプのお部屋だったので、次は別のタイプにもお世話になってみたいです。職員の方も皆さんほんとに感じ良くて、特にフロントの方の、連携も素晴らしかったです。申し送りがちゃんと、されているんだろうなと思いました。たいてい、やなことも一個二個あるのですが、こちらはいやなこと、全然ありませんでした。
66,5,5,5,5,5,5,ご飯もお風呂もお部屋も全てが最高でした,彼の誕生日のお祝いで利用させていただきました！接客もとても丁寧でしたし、お部屋はとても綺麗でした。ご飯も全部美味しかったです！サプライズで用意してくまさったケーキはクリームが甘すぎずいちごたっぷりで美味しかったです。お部屋の温泉も好きなときに入れてとても気持ち良かったです！またぜひ利用させていただきたいとおもいます。
67,5,4,4,5,5,5,法事と誕生日を兼ねて,今回は法事後に3人の誕生日会を兼ねて利用させて頂きました。食事は相州牛づくしで大満足。子供達も満腹で大満足でした。また利用させてもらいます。露天風呂付きの部屋でしたが、シャワーを固定する所がもう少し高い場所に1カ所欲しいです。
68,4,3,5,5,5,3,とても感じのいい接客,部屋がアネックスの5階でした。部屋の大きな窓からは山の緑と川の流れが見られ眺望はいいです。ただ、窓は開かないので空気の入れ換えは簡単じゃないですね。食事処はすぐ上の6階で近かったのですが、大浴場は本館1階と地下1階の端にあってかなり遠かったです。大浴場のお湯からはまあまあカルキ臭があって、衛生管理がしっかりしているのでしょうけど、ちょっと残念に思いました。食事処のスタッフの方々は細やかな気配りが感じられ、食材の説明をはじめ、ドリンク類や海鮮丼を持ってくるタイミングなどは、「ほしいな」と思い始めたドンピシャのタイミングでした。因みに、私たちは車で訪れたのですが、ホテルにキーを預けホテル側で駐車場に停めてもらう仕組みでした。チェックイン後に車を使う場合はちょっと面倒かもしれないですね。
69,3,3,-,-,3,3,無難なホテル,箱根を観光する上でオススメできるホテルです。温泉が数種類あり、楽しめました。私のプランは食事がなかったので、次回は食事をいただきたいと思います。
70,5,5,5,5,5,5,いつ行っても最高,久しぶりにお世話になりました。今回は4階のAタイプありがとうございました。お部屋はとてもきれいで気持ちよく過ごせました。大浴場は行かずお部屋の露天風呂のみ、のんびりとしていました。朝、夕の食事も美味しく量も丁度良かったです。又行きま～す
71,5,5,5,5,4,5,やっと4人そろって♪,前回参加できなかった妹が今回は一緒に利用できました。お部屋がリニューアルされていてとても快適で、温泉も満喫できました。夕食、朝食も大満足でした。
72,4,5,5,5,5,4,家族旅行、ゆっくりできました,高校生・大学生の子供たちとの家族旅行で利用しました大学生の子供は別行動でホテルで集合したので、先について待合コーナーでお茶とお菓子をいただき、くつろげたようです高校生の子供と私たち夫婦は自家用車で伺いました箱根は全く初めてで、旅館やホテルも多く選ぶのにも悩んだのですが、和洋室で朝食バイキングのスタイルが、大きい子供達＋夫婦にはちょうど良くくつろげました朝食バイキングのだし巻き卵は、出来立てのふわふわをいただき、感動しました。夕食は、季節柄桜をあしらった盛り付けで、美味しくいただきました量もちょうどよかったです大浴場も、とても広くゆったりしていました。特に夜の女湯は脱衣所が広く快適に過ごせました大浴場へ着替えを入れていくカゴや、温泉タオルを刺繍の色で区別できるようにするなど細やかな配慮が嬉しかったですお部屋の冷蔵庫のミネラルウォーターのサービスが嬉しかったです。従業員の方も皆さん親切で、快適でした。ありがとうございました！箱根はまだまだ行きたいところがたくさん残ってるので、また次回も利用させていただきたいです！！
73,5,5,5,4,5,4,丁寧な接客と最高の温泉,今回ははじめての本館での宿泊でした。露天風呂付きのお部屋、アメニティも凄く良かったです。露天風呂は源泉が出てるため熱くなってしまうので早めに止めて少し冷ましてから一気に浸かるのが物凄く気持ちよく川の音と目の前の森林に癒されて何度もはいりとても心身共に癒されました。夕食は部屋食だったので非常にゆっくり食べれました。接客も凄くよくとても気持ち良く過ごせました。少し贅沢なお値段にはなるので頻繁には行けないなと思いますがまた日々頑張ってご褒美に行けたらと思います。
74,5,4,3,3,5,5,露天風呂付きのお部屋,お部屋はとても良かったです。大浴場にいかなくても露天風呂に入れるのは贅沢ですね。大浴場も近くてお風呂は楽しめました。フロントの皆さんは大変親切で好感がもてます。食事は敢えてレストラン食を選択しました。レストランの皆さんもとても親切です。食事の量は多くはありませんが、美味しかったです。少食の私達はちょうど良かったです。朝はビュッフェスタイルで、卵焼きを出来立てで提供してくださったので嬉しかったです。ただ、一斉にみんなが取りに行くため、長蛇の列で、小さなお子さんは取るのに時間がかかりますし、とにかく時間がかかりすぎて途中でいやになりましたビュッフェ自体は種類が多く、美味しかったです
75,4,5,5,5,5,5,食事が美味しい,友人と5人で1泊しました。バスが出ているという事でしたが、歩いていきました。日中だった事もあり、川の近くを歩いていきました。景色も良くて良いですよ。別館に泊まりましたが部屋のお風呂はかなり圧迫があります。ただ露天風呂に泊まる人は許容範囲だと思います。また食事は美味しくつい食べ過ぎてしまう程。朝に出た作ってくれた卵焼きが美味しかったです。お腹を空かせて泊まるといいかなと感じました！帰り友達と写真を撮っていると受付の人が走ってくれて写真を撮ってくれました。丁寧で大変嬉しかったです。楽しい旅行となりました。ありがとうございます。
76,1,4,-,-,4,1,ご飯はおいしかったが、部屋の水回りは汚い,ANNEX別館のお部屋に泊まりました。一泊目は素泊まり、2泊目は朝夕食事付きの2泊です。今回こちらのホテルを選んだ理由は食事が美味しいとの口コミが多かったからです。期待通り食事は美味しく、特に朝食ビュッフェはメニューも多くてパンも今まで食べた中で上位に来るぐらい美味しくもっと胃袋が二つ欲しいほどでした。しかし、残念な点もあったので、ぜひ改善があればと思いそちらも記入いたします。私情により大浴場に行けなかったため、部屋付きのお風呂を使用しましたが、カビ？や黒ずみが多くとても入るのに抵抗がありました。また、トイレも古く、部屋の外にある教養の場所が綺麗だったのでそちらに入りに行っていました。外装はとても綺麗に改装されていたため、内装とのギャップをとても感じてしまいました。古い建物なのでしょうがないのかもしれませんが、水回りは綺麗にしていただきたかったなと思います。
77,4,3,5,5,5,5,お部屋食の食事が美味しかったです,親子三代…4人の女子旅で宿泊しました高齢で少し足が悪い母親と一緒なので露天風呂付きでお部屋食のホテルを探していてホテル南風荘さんに決めました事前にとても丁寧な予約確認の電話をいただき、それだけでとても印象が良かったですその電話の時に足が悪い高齢者がいますと伝えたら、ちゃんとお部屋に椅子が用意されていてサービスの良さを感じましたお部屋食の食事は夕食も朝食もとても美味しくて、みんな完食してしまうほど素晴らしいお料理でしたお部屋の露天風呂も広くて、温度調節も簡単にでき、とても良い温泉でしたお部屋に付いてくれた仲居さんも、明るくとても良い方で気持ち良く過ごせましたスタッフの方々も、みんな感じが良かったです露天風呂付きでお部屋食だったため本当にゆっくりのんびりと過ごせて、とても満足のいく宿泊でしたまた必ず伺いたいホテルです
78,4,4,3,3,3,4,寄り道,群馬の孫の顔を見にへ行く途中寄りました。箱根湯本へは以前から行きたく思っていましたが(風呂の泉質がきになっていました)立ち寄りの湯などを体験したいと思い安い部屋を予約し宿泊してみました。風呂は大変良いと思います。次回はもう少しリッチな部屋で2-3泊したい様な宿ですね。
79,5,5,5,5,5,5,忘れられない良い思い出を残してくれました。,外国から遊びに来た両親と初めて日本に温泉に行きました。 箱根まで少し遠くて疲れたけど、部屋から食事、温泉まで本当に全てが完璧で、忘れられない良い思い出を残してくれました。本当にありがとうございました。
80,5,5,5,5,5,3,おもてなし最高で、食事も美味しい,事前に、両親の古希祝い旅行という旨を伝えていました。宿の方のサービスや心配りがとっても嬉しかったです。部屋も広くてゆっくりくつろぐことができました！気になるとすれば、部屋の座椅子のほこりが気になりました。小さい子供が居たので触ろうとして、慌てました。
81,5,5,5,5,5,2,還暦お祝い,前回は娘が初任給でのプレゼントでお邪魔しました。お部屋・お食事・接客等大満足でゆっくり過ごせたので、今回は還暦のお祝いで２泊3日でワンランク上のお部屋で予約しました。お部屋・お食事・接客等、最高でした。最初は１泊のつもりで予約したのですが、２泊できるようになったので追加で予約したのですが、２泊同じお部屋になるように手配して頂いてゆっくり過ごせました。初日のチェックイン時間は15時組と仕事終わりで来る19時組となったにもかかわらず、気持ち良く迎えていただきました。初日の夕食は最終時間ギリギリになってしまいましたが、丁寧な接客でゆっくり食事する事ができました。ひとつ残念だった事は、空気清浄機の『フィルターお手入れ』のランプが部屋に入った時に点灯していて、２日目の部屋の清掃をお願いして戻っても点灯していて清掃されていなかったことです。それ以外は最高でした。サプライズのお祝いもありがたかったです。次回は、いつ・どのお部屋で申込みしようかと帰りの車で話しました。
82,4,5,5,5,5,5,露天風呂最高！2歳の子供連れです。ご参考に。,旦那のバースデー旅行で利用しました！南風荘を利用するのは2回目です。今回は2歳の末っ子ちゃん連れていきました！オムツが外れてないので、露天風呂がついてる部屋を選びました。怖がるかなと心配していましたが、とても気に入って入ってました。チェックアウトが11時なので、夜と朝と入りました！何度も気兼ねなく入れるのがいいですね！肌がいい感じです！チェックインは15時でしたが、早めについたので駐車場に停めさせてもらい、チェックイン前に受付、荷物等、部屋に入らせてもらえたので、ホテルからバスで食べ歩きに行けました！子供が小さいのでとても助かりました。部屋も綺麗で、サービスもよく、接客も親切で、楽しくお気遣いがとてもよくてほっこりしました！何度も頼ってしまうほどでした。お食事も大変美味しく、おひつのご飯を何度もおかわりしてしまいました。2歳の子どもには一緒に食べるには少し少ないのかもしれません。事前に子供が食べられるのや飲み物を先に注文する方がいいのかもしれません。ベットは今回ツインでした。どちらも隙間があったので隙間にお布団を詰めました。部屋のTVには、YouTubeやTVer、他にも色々、観れました！夜中の部屋温度は27度で。暑くて、タイマーのやり方がよくわからずでした。大変お世話になりました！とてもよい旅行になりました！
83,4,4,4,3,4,4,露天風呂がよかった,夜は部屋食で、朝はバイキングで、部屋の露天風呂も小さい庭がありよかったです。大浴場も広くて、外風呂もよかったです。ちょうど周りは桜が咲いていて綺麗でした。
84,3,3,5,1,3,4,朝食バイキング良かった,1番安いプランだったので特にサービスもなく夕食はかなり残念でした。本館のお部屋食の方はクチコミが良いのでかなり差があるのだと思いました。朝食のバイキングは種類も豊富で美味しかったです。部屋は可もなく不可もなくでした。ただトイレが狭く古かったです。雨だったのでお風呂は普通でした。晴れてたら気分的に違ったのかも。春休みで少し値段は高い設定のような気はしました。
85,5,5,5,5,5,5,3世代旅行,私と母と息子での旅行で初めて利用しました。主人は仕事で参加せず、小学生の息子を大浴場に一人で行かせることが不安だったので、露天風呂付客室を探していてこちらを予約しました。部屋の広さ、清潔さ、部屋の露天、アメニティ、食事(朝夕)、すべて良かったです。部屋の露天はスクリーンを自在に動かすことができ、目隠ししながら空と桜が見えるようにしたところ、想像以上に快適でした。ホテル自体はとても良かったのでまた利用したいです。旅館共通送迎バスの本数が少ないことが不便でした。
86,5,5,4,4,5,5,高齢の親とニ部屋に宿泊させてもらいました。,高齢の両親と夫とニ部屋別々に宿泊し、片方の部屋で一緒に部屋食が出来ました。部屋付き露天風呂だったので、一部屋で全て完結出来てゆっくりできました。賑やかなバイキングもいいけど、親子水入らずで会話をしながら食事がお部屋で出来たので、大満足です。朝も夜も部屋食で、お部屋に日本人の方が接客してくれたので、全てが丁寧でいいおもてなしを受けることができました。高齢の親を大浴場に行かせるのは、滑ったりしないか？心配だったので、高額でしたが、部屋付き露天風呂にしてよかったです。
87,5,4,5,5,5,5,家族の誕生日旅行,リニューアルした部屋付き露天風呂のある宿と言う事で選びました。食事も部屋で食べられゆったりできました。家内の誕生日だったのですが満足して貰えた様です。
88,4,3,5,5,4,4,夕食が予想以上,予約確認のお電話がホテルから直接きて良かった。ただ歩いて行くことを伝えたのに、共同利用バスのことを教えていただけなかったのが残念。箱根価格で宿泊費が高いのだろうと思い夕食にあまり期待していなかったが、手の込んだ先付け、牛肉などとても美味しかった。デザートは和食の流れなら果物だけの方が良かった。朝食もバイキングの品数が多く、和食の惣菜の質が良かった。混み合うので惣菜類をもう少し余裕のある配置にしてもらえると助かる。新館の構造的なものだが部屋が広々としているのに部屋の入り口が狭苦しく、トイレの前に床がない部分があって危なかった。
89,5,4,5,5,5,4,おもてなしに感謝,家族（三世代）旅行で利用させていただきました。お部屋からの眺望が良く、川のせせらぎの音が聞こえて気持ちよかったです。日程が子どもの誕生日と重なったため、バースデーケーキの手配をお願いしました。夕食時、ケーキの他に、私たちも知らない誕生日サプライズが用意されていて感動しました。ケーキもお料理もとても美味しかったです。その他、こちらの要望に柔軟に対応していただきありがとうございます。子どもの誕生日と箱根旅行の良い思い出になりました。
90,3,5,4,2,5,4,朝食が良い,夕食はイマイチですがそれ以外は良い。朝食は美味しい。エレベーターが混み合い不便でした。お部屋は広く4人で泊まっても広々でした。
91,5,5,5,5,4,4,とてもゆっくりできました。,お部屋にあった露天風呂が素敵すぎました。熱くもなくぬるくもなくちょうどよかったです。食事もどれも美味しくて大満足でした。また箱根に行く機会あれば是非利用させていただきたいです。
92,5,4,5,5,4,5,綺麗でくつろげる客室,子供の卒業、誕生日祝いで部屋食、露天風呂付きのお部屋を選びました。部屋食は朝夕とも食べきれないくらいのご馳走で見た目も美味しさも満足でした。部屋は掃除が行き届いていてとても綺麗で露天風呂につながる洗面所が床暖房になっているところが良かったです。部屋の露天風呂は何度も入りたくなるくらい良かったです。箱根旅行する時はまた泊まりたい！と思える宿でした。
93,4,4,4,5,4,4,相州牛が最高！,相州牛ステーキ・たたき風・しゃぶしゃぶなど相州牛を堪能できるコースでしたがとっても美味しく相州牛以外の料理もレベルが高く過去一番に美味しい夕食で大変満足できる旅行になりました。
94,5,5,5,5,5,4,心温まるおもてなしの宿,家族旅行で一泊させてもらいました。従業員さんたちのご対応がとても素晴らしく、滞在中終始気持ち良く過ごすことができました！皆さん笑顔で対応してくださりとても嬉しかったです＾＾また家族と相談して、婚約のサプライズをしてくださり、感動の涙が止まりませんでした。お風呂は温泉の温度もちょうど良く、ゆっくり過ごせました。夕食も朝食もとても美味しく、創作料理を楽しむことができました！是非箱根に行った際はまた泊まらせて頂きたいと思っています！本当にありがとうございました。
95,5,5,5,3,5,5,スタッフさんの接客が笑顔で丁寧！朝食バイキングの種類が多くて楽しい！,全体の雰囲気も良く、客室のご案内をしてくださったスタッフさんはもちろん、夕食朝食のレストランのスタッフさん皆さんの笑顔で丁寧な対応が印象的でした。夕食は季節感のある創作料理でしたが、特別印象に残ったお料理はなかったです。もしかすると特にお若い方々には少し物足りない感じかなと思いました。朝食はバイキング形式で、種類も多く、食べて見たいものがいくつもあってとても楽しく美味しく頂きました。デザートもいろいろ食べたかったのですが、おかずが美味しくてお腹いっぱいになり諦めました(笑)食後、コーヒーもお部屋にテイクアウトできます。お部屋は客室露天風呂付きのお部屋に祖母と母と私の3人で宿泊させていただきました。高齢の祖母の足がおぼつかないので大浴場に行かなくてもいいように露天風呂付きのお部屋を選んだのですが、常にかけ流しの綺麗で大きめの浴槽で、いつでも入ることができるので全員大満足でした。お部屋によってつくりが違うかもしれませんが、お風呂上がりにベランダの小さいスペースの椅子で休めたのも良かったです。帰りは箱根湯本駅までの送迎マイクロバスを利用させていただきましたが、その際のご案内もとても丁寧で、発車の際もきちんとお見送りまでしてくださっていて、ぜひ、また泊まりたいと思えるお宿でした！
96,5,4,3,3,5,4,温泉がとても良かった。,夕食が少し少なかったが、朝食バイキングがとても品ぞろえが良く美味しかった。温泉は気持ちよく、露天風呂が特に良かったです。また母と訪れようと思います。
97,5,5,5,5,5,5,2回目が欲しい,スタッフさんが丁寧に詳しく説明した。親と友達は初めて日本温泉を住んで、部屋のスタイルし、窓外景色し、食事と温泉が大満足だった。私は朝食が大好きです。美味しい食材を食べながら、窓外に山々を望みます。ストレスが無くなった！今回の宿泊が楽しかった、2回目が欲しいです。
98,4,5,4,4,5,5,露天風呂が最高！,露天風呂付きのお部屋が最高でした。お部屋や大浴場も掃除が行き届いており、気持ちよく宿泊できました。朝食バイキングも思っていたより種類がありました。夕飯のメニューがもう少しこったお料理だと尚良かったです。素敵な思い出になりました。
99,5,5,5,5,5,5,赤ちゃん連れにおすすめ,露天風呂付きAタイプのお部屋に、父母と８ヶ月の赤ちゃんと宿泊しました。お部屋は清潔感があり、部屋の露天風呂が最高で久しぶりにゆったりした気持ちで過ごせました。脱衣所が床暖房になっていて風呂から上がったあと赤ちゃんのお世話をするのも安心してできました。置かれていたスキンケアが雪肌精だったのも嬉しいポイント。持参した離乳食を温めていただいたり、持参のベビー食器を洗っていただいたりもしました。部屋食だったので周囲に気を使うことなく過ごせました。お食事ももちろん美味しく！朝食の美しさにおもわず写真を撮りました。また利用したいと思います。
100,5,5,5,5,5,5,細やかなおもてなしが良かったです,孫の１歳のお祝いで娘夫婦と両家の3家族でお世話になりました。素敵な露天風呂付きの広いお部屋を３部屋予約し、それぞれお部屋のお風呂や大浴場を何度も入れたようです。お食事は個室で気兼ねなく美味しいお料理をゆっくりいただきました。お祝いのお赤飯やお魚もありました。お誕生日のケーキを囲み７人で写真を撮って３家族分台紙付きでいただきました。ケーキはお腹がいっぱいで後でお部屋でいただきました。大きなイチゴがたっぷり入った大きなケーキでとてもおいしかったです。部屋におむつ用のゴミ箱やいすを用意して頂き良かったです。予約後から丁寧な打ち合わせのメールや前日のお電話を頂き、細やかなおもてなしが良かったです。良い思い出になりました。また是非泊まりに行きたいと思います。ありがとうございました。
101,5,5,3,4,5,5,お部屋の露天風呂が最高,お部屋は綺麗で露天風呂が最高でした。何回も入りました！！ごはん美味しいです。男性には足りないかもです。
102,4,4,4,4,4,4,初の箱根旅行,初めての車での箱根旅行で不安でしたが、着いた瞬間からスタッフの方の車の誘導等スムーズにしていただきました。露天風呂付きで、お部屋も広くトイレの蓋が自動で開くのころやトイレにも手洗い場があることがとても良かったです。お部屋のお風呂もちょうどいいお湯加減でゆっくり時間も気にせず自分たちのペースで利用できてよかったです。お部屋が広いので老若男女、家族や小さいお子さんのいらっしゃる方でも利用しやすいお部屋なのではないかと印象を受けました。ご飯も美味しいく量もあり大満足の内容でした。1番は食後のデザートと一緒におしぼりがついてきたのが私たちはとてもポイント高かったです。帰りもスタッフの方が元気にお見送りをしてくれたりと最後の最後まで気持ちよく過ごすことができました。また箱根に来ることがあれば泊まりたいです。
103,3,5,5,5,5,4,部屋以外良かった,小上がりで子供が転んでしまった。また、小上がりを閉めきると圧迫感があり、狭く感じた。それ以外は最高でした。
104,5,5,5,5,4,5,親子でのんびり,今回、主人の還暦祝い、娘の卒業祝い就職祝いを兼ねてお邪魔しました。お部屋も広く3人でくつろぐには十分の広さでお部屋についている露天風呂も足を伸ばして入ることができ、夕涼みのベンチ、椅子も置いてあり、快適に過ごすことができました。露天風呂がついているのでお風呂に行く手間も省けて何回も入ることができたのも、とてもよかったです。お料理も一口サイズの前菜が綺麗で見た目も楽しめ、味も最高。舌鼓を打ちながら美味しくいただきました。朝食もたくさんの食材から選べお腹いっぱい食べました。とても満足のいく親子旅行でした。またお邪魔します。今度は2泊くらい、のんびりしたいです。
105,5,5,5,5,5,5,やっと帰宅,今年は元日から能登地震、そして、千葉と地震活動期の日本とは言え、友人知人もおられるのでいろいろ心配やらで落ち着きませんでした。でも、寒暖差の厳しい中、自律神経やら疲れぽいやらで温泉宿に｢帰宅｣して心身を休めたと思い、この宿は虫の対策もしっかりしていると何の心配も無く、急に行こうと前日申し込みお手数をおかけしました。今回の良かった点は２つ、一つは昨年のあの新人君(････)が部屋案内をしてくれたこと、さらにお会いしてすぐ笑顔で｢昨年ご案内させていただいたお客様｣と気づいてくれたことで名前も覚えていたこともあり何やらホッとしました。もう一つは、懐石料理は薄味で味や見た目の満足していますが満足していますが、個人的に希望していた厳選された刺身と天ぷらがあったことです。昔からの固定概念かもしれませんが刺身とカラッと揚げた天ぷらは宿の定番･･･以前に増して感謝感謝です。今回も昼過ぎに自宅を出て、15時から11時までご迷惑でもしっかり時間をフルに使い、帰りは朝食をしっかり堪能したのでやや遅い昼を途中で食べて、自宅へ直行の宿を楽しむだけの馬鹿な我々でした。
106,5,5,5,4,5,5,穏やか、優雅な1日,今回2回目の利用させて頂きました。チェックイン時に以前利用していた為記名のみでできました。お出迎えから館内案内、部屋への案内とそつなくスムーズでした。部屋は綺麗で今回はレストランでの食事でしたが案内、料理と満足できました。特に朝食バイキング品数豊富で全て食べることできませんでした。雰囲気、施設、従業員の方々最高でした。来年もまた行きたいです!
107,5,5,5,5,5,4,子どもの就職祝いでの旅行,以前泊まったお部屋がとても良く、今回も同じお部屋に泊まりたいと思いリクエストさせて頂きました。リクエスト通りのお部屋を用意して頂きとても嬉しかったです。その上お祝いの旅行という事で、料理長様からのお心遣いのお料理も感激でした。お部屋風呂もとても良い温泉でゆっくりのんびり何回も入る事ができました。家族の記憶に残る楽しい旅行になりました。また宿泊したいと思います。
108,4,4,5,4,5,4,部屋食が良かったです,高齢の父が居る為、露天風呂付きの部屋食にしましたが、とても良かったです。朝食はエレベーターを２回乗り、会場まで行きましたが、少し遠かったです。仲居さんは色々と父の事を気に掛けてくださりました。ありがとうございました。
109,5,4,5,5,5,5,おすすめの宿,お部屋、お料理、接客すべてが高いレベルで楽しく過ごすことが出来ました。お部屋のお風呂も大変気持ち良かったです。
110,5,5,3,3,5,5,想像以上でした,もう一泊したいなと思うくらい良かったです。露天風呂付きの部屋は最高でした。子供達も大喜びで大変満足の行く宿でした。
111,5,5,4,5,5,5,ゆっくり過ごせる,いろいろなお祝い事が重なって、家族の女子会旅行を計画しました。お部屋が素晴らしく、スタッフの皆さんの心遣いも素晴らしいお宿でした。赤ちゃんが一緒でしたが、部屋食でしたし、スタッフさんの心遣いのお陰でゆっくりと楽しく過ごす事ができました。料理もとても美味しかったです。また、泊まりたいと思います。今度は主人と一緒に出かける予定です。
112,5,4,5,5,5,5,箱根の温泉宿です。,箱根は観光地としてno1no2を争う有名なところで、欧米からのインバウンドの方が多かったです。美術館あり。大涌谷あり。ケーブルカーロープウエイあり。大自然の景気が楽しめる欧米の方に人気のはずです。その欧米の旅行客の方々にも快く宿泊できる、大型の欧米スタイルのホテルです。食事も管内設備も立派で、さすが箱根という感じでした。外国の方にも人気のあるホテルだと思います。従業員の方々も親切で、気持ちよく宿泊できました。朝食のバイキングは豪華絢爛で、地元の食材を使った健康的なメニューが多かったです。このホテルの近くにも大型ホテルが並んでおり、駅前商店街や旅館街の景色は圧倒されるものがあります。
113,5,5,5,5,5,5,お風呂もお料理も最高,先月家族で利用させて頂きました。1泊2食付きでしたが、お風呂や夕食のしゃぶしゃぶ、また朝食のバイキングも品数豊富でおいしく頂き子供達も大喜びで大変満足でした。ぜひまた行きたいホテルです。
114,4,5,5,5,5,5,部屋露天風呂が広くて最高！,息子の卒業旅行として父を誘って初めて行った旅行！部屋が少し複雑な作りだったけど、3世代がゆっくりくつろげる空間もあり、部屋でのんびり温泉にも入れたので、本当によかった。お食事処も個室になっているので、他の人たちを変に感じることもなく、家族での時間も過ごせました。とてもいい記念の旅行になりました。
115,5,4,4,5,5,5,部屋付き露天風呂が最高,毎回部屋露天風呂付きを利用しているが天然温泉が最高に良くて大浴場はあまり利用しない程良い…ゆっくりゆったりと時間を過ごせて癒される、今回新しい部屋を利用したが他のレビューにもあった様に露天風呂と外の境に簾がやはり動かず残念でした…料理は毎回量と品数のバランス良く安心朝は納豆あり出来れば温泉卵が有れば更に有難い接客は若い人が中心だが良く気遣いあり心地よい。
116,3,4,4,5,5,4,個室での夕食もてなしが最高、満足,ホテルでの夕食を久しぶりに個室で頂きました。接客、料理の説明等、親切丁寧に対応して頂きました。お部屋は離れた棟で少し古く浴場まで距離はありましたが、それなりにいい思い出作りができました。機会があればまたリピートします。
